name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Andrés Giordano Salazar,andres giordano salazar,FA,Independientes,-0.706828,-0.695223,0.009861,-0.726156,-0.687501,1,"[{'fecha': '2025-12-16', 'polo': 'negativo', 'text': 'En el tiempo del Comité Frente Amplio, tiene la palabra el diputado Andrés Giordano. recientemente en titulares noticiosos han aparecido figuras que suenan como parte del gabinete del próximo Presidente de la República, José Antonio Kast. En este sentido, hoy día no se está discutiendo quizás solo el nombre de un gabinete; está discutiéndose qué modelo vuelve a mandar: el que enfrenta los abusos o, finalmente, el que se termina acostumbrando a...'}, {'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'En Incidentes, corresponde el uso de la palabra, hasta por ocho minutos y cincuenta y cuatro segundos, al Comité Frente Amplio. al trabajador a quien no le alcanza para llegar a fin de mes, a quien busca empleo, a quien busca mejores remuneraciones, a quien vive de su trabajo, le quiero hacer un llamado a tomar conciencia sobre el retroceso que significa José Antonio Kast no solo para la democracia, sino para tu propio trabajo. Y lo quiero hac...'}, {'fecha': '2025-10-01', 'polo': 'negativo', 'text': 'primero, saludo al Ejecutivo, al que también agradezco poner en discusión este tema tan relevante en este hemiciclo. Y lo digo porque, durante las últimas semanas, varios parlamentarios han tratado de instalar un eslogan con el cual discrepo: que el desempleo es culpa de políticas que se han discutido acá, que mejoran la calidad de vida, la calidad del trabajo y la posibilidad de redistribuir la riqueza que se genera allí. No me parece serio s...'}]",-0.694128,-1.235453,-0.809476,-2.039157,-0.803704,0.803704,Mas moderado/a en discurso que en votacion tematica,False,696,14
Ana María Gazmuri Vieira,ana maria gazmuri vieira,PAH,PC + FRVS + AH,-0.550696,-0.53909,0.019618,-0.589146,-0.512245,2,"[{'fecha': '2025-09-29', 'polo': 'negativo', 'text': 'quiero partir mi intervención valorando la presentación del presente proyecto, ya que implica un avance significativo en la protección de los derechos laborales y la salud de las trabajadoras y los trabajadores, especialmente cuando hablamos de prevención, apoyo, contención y acceso a un diagnóstico oportuno de enfermedades tan graves como el cáncer gástrico. En ese sentido, incluir los exámenes pertinentes para detectar a tiempo enfermedades ...'}, {'fecha': '2025-06-11', 'polo': 'negativo', 'text': 'esta iniciativa, que ingresó en enero de 2025, ha tenido como objetivos principales clarificar el marco normativo aplicable a materias en que era urgente dar más certeza, para impulsar la inversión, la productividad y la competitividad del país durante este año y de cara al futuro, así como para optimizar los procedimientos administrativos asociados. Si lo vemos a simple vista, no son objetivos ambiciosos, sino básicos, considerando el alto ín...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'En discusión las modificaciones del Senado. nuevamente nos ocupa esta importante materia para trabajadoras y trabajadores de nuestro país, pues, tal como indica la idea matriz del proyecto, el objetivo es avanzar en estándares que garanticen una remuneración mínima adecuada y la debida protección social para los niveles salariales de menor ingreso, permitiendo vivir dignamente a trabajadoras y trabajadores. Es pertinente que hablemos de justic...'}]",-0.949079,-1.688392,-0.932431,-1.588724,0.099668,0.099668,Alta coincidencia texto-voto,False,686,3
Daniela Serrano Salazar,daniela serrano salazar,PC,PC + FRVS + AH,-0.498126,-0.486521,0.019541,-0.536427,-0.459825,3,"[{'fecha': '2025-11-17', 'polo': 'negativo', 'text': 'después de la alocución que me antecedió, que demuestra una completa ignorancia respecto de cómo funciona el Estado, me gustaría transmitir algunas cosas. Cuando hablamos de disminuir el gasto público, no estamos hablando de una maniobra contable, sino de decisiones que afectan directamente derechos, servicios esenciales y bienestar social. Se ha instalado la idea de que sería posible realizar ciertos recortes significativos del gasto fiscal s...'}, {'fecha': '2025-10-01', 'polo': 'negativo', 'text': 'el desempleo y la precariedad son desafíos que siguen aquejando a nuestro país y que golpean, lamentablemente, con más fuerza a mujeres, jóvenes, personas mayores y trabajadores y trabajadoras con discapacidad. En Chile, más de dos millones de personas se mantienen en la informalidad, y quienes logran insertarse enfrentan empleos mal pagados o inestables. Esa es la realidad que busca afrontar esta iniciativa. Este proyecto crea el subsidio uni...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'a fines del mes de abril, el gobierno firmó un protocolo a partir del diálogo concretado con la CUT, con el objetivo de avanzar en una política de ingresos, resaltando y valorando avances concretos en materia laboral. Esos esfuerzos han sido hechos por este gobierno. Sin embargo, llama la atención -por eso me inscribí para intervenir- que en esta Sala se haya acusado al gobierno, primero, de populista. Se ha acusado de que esto es un alza irre...'}]",-0.765638,-1.362494,-0.953623,-1.437064,-0.074569,0.074569,Alta coincidencia texto-voto,False,783,8
Carolina Tello Rojas,carolina tello rojas,FA,PC + FRVS + AH,-0.493691,-0.482085,0.019911,-0.532717,-0.454665,4,"[{'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'hoy estamos frente a una señal concreta de compromiso cumplido: por primera vez en nuestra historia el ingreso mínimo mensual supera los 500.000 pesos. Se trata de un aumento histórico, que beneficiará directa- mente a miles de trabajadoras y trabajadores en todo el país, especialmente en regiones como la nuestra, la Región de Coquimbo, a la cual represento, donde esta medida cobra un sentido real y urgente. En nuestra región, este reajuste al...'}, {'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'quiero expresar mi respaldo al proyecto de ley que reajusta el ingreso mínimo mensual, porque representa una herramienta concreta para mejorar la calidad de vida de miles de trabajadores y trabajadoras en nuestro país, especialmente en nuestra Región de Coquimbo. Este reajuste, que elevará el salario mínimo a 539.00 pesos en enero del 2026, es fruto de un acuerdo amplio entre el gobierno y distintos actores sociales. Está acompañado de medidas...'}, {'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'durante años ha sido evidente que las pensiones en nuestro país no solo no son suficientes, sino que, derechamente, son de miseria. Eso se refleja en datos que refutan cualquier intento de validación de un sistema que, tras décadas, no cumplió con su promesa de otorgar mejores pensiones a las trabajadoras y los trabajadores de nuestro país y, sobre todo, generó una crisis cuyo efecto principal y profundo es no brindar pensiones que permitan a ...'}]",-0.629385,-1.120432,-0.841432,-1.424268,-0.303837,0.303837,Mas moderado/a en discurso que en votacion tematica,False,752,16
Boris Barrera Moreno,boris barrera moreno,PC,PC + FRVS + AH,-0.48978,-0.478175,0.012194,-0.513681,-0.465879,5,"[{'fecha': '2025-11-25', 'polo': 'negativo', 'text': 'hoy quedó en evidencia lo que ya sabíamos: las objeciones técnicas de la derecha de Kast no eran más que excusas basadas en argumentos sin sustento. Pero lo grave no son sus contradicciones, sino las consecuencias reales de su actuar, que pretendía paralizar derechos, beneficios y programas sociales claves para las chilenas y los chilenos. Eso no es un error técnico; es la muestra más clara de lo que representa la derecha de Kast: desfinanciam...'}, {'fecha': '2025-11-17', 'polo': 'negativo', 'text': 'la ultraderecha chilena, al igual que Bolsonaro en Brasil, Milei en Argentina y Trump en Estados Unidos, quiere recortar el Estado con una motosierra para reducirlo y privatizarlo. Los efectos ya los conocemos. Crean pobreza para la gran mayoría con el fin de concentrar la riqueza en los mismos pocos de siempre. Quiero decir con absoluta claridad que lo ocurrido con la tramitación del presupuesto hasta ahora es impresentable. En Chile, lejos d...'}, {'fecha': '2025-06-18', 'polo': 'negativo', 'text': 'me parece importante recordar cómo la discusión del salario mínimo llegó a la Comisión Mixta. El Senado rechazó la creación, a nivel legal, de una instancia que aportara insumos técnicos para la discusión salarial, argumentando que aplicaba gasto público. Lo que el Senado rechazó -afortunadamente, ello se pudo recuperar en la Comisión Mixta, aunque sin financiamiento- fue la creación del observatorio de ingresos y costo de la vida de las traba...'}]",-0.733654,-1.305673,-0.919251,-1.412986,-0.107313,0.107313,Alta coincidencia texto-voto,False,781,11
Luis Alberto Cuello Peña y Lillo,luis alberto cuello pena y lillo,PC,PC + FRVS + AH,-0.478905,-0.4673,0.020985,-0.520035,-0.437775,6,"[{'fecha': '2025-09-15', 'polo': 'negativo', 'text': 'La Mesa de la Corporación, acogiendo la propuesta contenida en el informe técnico de la Secretaría General de la Cámara de Diputadas y Diputados, y en virtud de lo establecido en el artículo 15 de la Ley Orgánica Constitucional del Congreso Nacional, declara inadmisible la moción del diputado Luis Cuello y de las diputadas Karol Cariola y Camila Rojas, que establece un royalty portuario, por cuanto contraviene normas de iniciativa exclusiva de...'}, {'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'Ha concluido su tiempo, señora diputada. después de 44 años de imperio de un negocio ilegítimo, hoy podemos comenzar a hablar de seguridad social. Ya son varias las generaciones de chilenos que han sufrido el castigo de la pobreza y de la miseria por parte de una industria que se alimenta de la desgracia de otros. Cuando hablamos de pensiones de miseria, perdemos de vista lo que ello significa. ¿Cuántas veces hemos visto a personas mayores que...'}, {'fecha': '2024-12-11', 'polo': 'negativo', 'text': 'Muchas gracias, diputado. por su intermedio saludo muy fraternalmente a los trabajadores y trabajadoras del sector público presentes en la tribuna; a los dirigentes de la mesa del sector público y, también, por supuesto, a los ministros y a la subsecretaria. Saludo y valoro el acuerdo entre el gobierno y trabajadores, porque expresa la voluntad común de mejorar las condiciones de los funcionarios y funcionarias públicos. Los acuerdos comprendi...'}]",-0.722906,-1.286579,-0.924524,-1.381613,-0.095033,0.095033,Alta coincidencia texto-voto,False,779,12
Karol Cariola Oliva,karol cariola oliva,PC,PC + FRVS + AH,-0.477808,-0.466203,0.021228,-0.519415,-0.436201,7,"[{'fecha': '2025-09-10', 'polo': 'negativo', 'text': 'Se suspende la sesión por falta de quorum. -Transcurrido el tiempo reglamentario: Continúa la sesión. este proyecto de ley, de autoría de la diputada Alejandra Placencia, viene a hacerse cargo, tal como se ha dicho, de un vacío que quedó en la ley que aprobamos hace un tiempo para modificar la Ley de Tránsito, con el fin de promover el pago efectivo de las pensiones de alimento. Es fundamental que lo que aquí escribimos con la mano no se borre...'}, {'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'junto con saludar a los ministros presentes, en especial al ministro Mario Marcel y a la ministra Jeannette Jara, pues sin sus esfuerzos y dedicación en la tramitación de esta iniciativa no habríamos llegado hasta donde estamos hoy. Con la propuesta legislativa que votaremos esta tarde estamos dando un paso importante para satisfacer una necesidad prioritaria para las chilenas y los chilenos, como es aumentar hoy las pensiones que reciben las ...'}, {'fecha': '2024-06-19', 'polo': 'negativo', 'text': 'antes de partir con la defensa de esta solicitud de acuerdo, quiero saludar a las y los dirigentes de la Confederación Gremial Nacional de Organización de Ferias Libres, Persas y Afines, que reúne desde el norte hasta el sur a un gremio tan relevante para la idiosincrasia, la cultura y la subsistencia de nuestro país. Los dirigentes hoy nos acompañan desde las tribunas, porque para ellas y ellos es crítico y determinante que se apruebe esta so...'}]",-0.976997,-1.737991,-0.74928,-1.378447,0.359544,0.359544,Mas extremo/a en discurso que en votacion tematica,False,648,1
Nathalie Castillo Rojas,nathalie castillo rojas,PC,PC + FRVS + AH,-0.439916,-0.428311,0.020055,-0.479225,-0.400608,8,"[{'fecha': '2025-07-01', 'polo': 'negativo', 'text': 'este proyecto de ley, conocido como de permisología, buscaba modernizar el Estado para hacerlo más eficiente; pero las modificaciones introducidas por el Senado causan preocupación, ya que se amplían las declaraciones juradas a todos los permisos, incluso a aquellos vinculados con alto riesgo, como materiales explosivos, tóxicos, relaves mineros, líquidos industriales y otros que son de extrema peligrosidad para nuestras comunidades, reduciend...'}, {'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'Ha concluido su tiempo, señor diputado. si estuviéramos en un mundo ideal y el Congreso Nacional aspirara al bien común, sin lugar a dudas este proyecto debería ser aprobado de forma unánime. No aprobarlo es obviar las necesidades de la clase trabajadora en un contexto donde el costo de la vida sube. ¡Y pucha que cuesta llegar a la quincena o a fin de mes! Desde aquí se hace fácil parafrasear -por su intermedio, señor Presidente, me dirijo a l...'}, {'fecha': '2025-03-04', 'polo': 'negativo', 'text': 'Ha terminado su tiempo, señor diputado. antes que todo, quiero decir que el Partido Comunista jamás ha estado en contra de escuchar a las y los trabajadores, menos en esta materia, incluso cuando en su momento nos opusimos a los articulados del SBAP. Por ello, creo que hay que tener un poco de prolijidad al momento de mencionar a nuestra bancada en relación con un proyecto de estas características. Refiriéndome al proyecto, la Conaf es una ent...'}]",-0.783907,-1.394951,-0.870073,-1.269132,0.125819,0.125819,Alta coincidencia texto-voto,False,726,7
Emilia Schneider Videla,emilia schneider videla,FA,Frente Amplio,-0.43477,-0.423165,0.025931,-0.485595,-0.383946,9,"[{'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'las pensiones son una de las principales preocupaciones de la ciudadanía y una de las grandes heridas abiertas que arrastra nuestra sociedad, por un sistema de AFP impuesto en dictadura, por las pensiones de miseria y por un modelo que hace negocios con la vejez de la gente. Hoy es un día muy importante, porque tenemos la oportunidad de cambiar un poquito esa nefasta realidad. Enfrentar estas deudas pendientes de la transición democrática, est...'}, {'fecha': '2024-11-13', 'polo': 'negativo', 'text': 'la educación chilena enfrenta grandes desafíos que se arrastran desde hace años: los déficits en infraestructura, las dificultades para el aprendizaje y la falta de condiciones dignas para sus docentes, trabajadores y trabajadoras. Todo esto se hace más latente en la educación pública, que desde hace tanto tiempo ha sido la gran ausente del debate. Por eso me parece particularmente importante que este presupuesto traiga un aumento de 65.000 mi...'}, {'fecha': '2024-01-23', 'polo': 'negativo', 'text': 'finalmente llegó el día de votar la reforma de pensiones. Hoy la política tiene una oportunidad de decir a la gente que lo que hacemos acá sirve, da resultados y puede mejorar sus vidas. Chile lleva décadas esperando por una reforma de pensiones que termine con los abusos y otorgue dignidad. Lo mínimo es que la gente pueda llegar a fin de mes. Sepan quienes quieren rechazar la idea de legislar y postergar este debate un año más que les están d...'}]",-0.623088,-1.109244,-0.836497,-1.254286,-0.145042,0.145042,Alta coincidencia texto-voto,False,654,17
Daniel Melo Contreras,daniel melo contreras,PS,Socialismo Democrático,-0.4094,-0.397795,0.026392,-0.46113,-0.357671,10,"[{'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'la reforma de pensiones que hoy votaremos a favor es una de las principales demandas y anhelos de los actuales y futuros jubilados. El actual sistema de AFP ha fracasado; no resiste más. Los cambios que hoy aprobaremos esperamos que marquen el inicio de un proceso de cambios progresivos hacia un sistema robusto de seguridad social en nuestro país. La democracia debe resolver los problemas que aquejan a la gente. La política debe ser útil para ...'}, {'fecha': '2025-01-14', 'polo': 'negativo', 'text': 'en la última elección de 2024, realizada los días 26 y 27 de octubre del año pasado, participaron más de 200.000 vocales de mesa. Son hombres y mujeres, estudiantes, trabajadores y trabajadoras, ciudadanos de a pie que contribuyen, como es la vocación y la tradición democrática en nuestro país, para sentar las bases de un proceso electoral, que la mayoría de las veces se realiza con transparencia, prontitud y altos estándares democráticos y el...'}, {'fecha': '2024-10-01', 'polo': 'negativo', 'text': 'hoy votaremos un proyecto que inicialmente tenía una buena intención. La idea era quitar una carga burocrática y agilizar permisos sectoriales, lo que sería supuestamente para ayudar a las pymes, como en su momento se nos relató. También, se planteó que esta propuesta no iba a afectar la evaluación ambiental de los proyectos. Pero si uno revisa el texto, verá que esta iniciativa sí considera elementos ambientales e interviene en alrededor de 5...'}]",-0.424689,-0.756772,-0.655472,-1.181095,-0.424323,0.424323,Mas moderado/a en discurso que en votacion tematica,False,463,18
