name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Jaime Naranjo Ortiz,jaime naranjo ortiz,PS,Socialismo Democrático,-0.822548,0.794444,0.017461,-0.856772,-0.788324,1,"[{'fecha': '2025-01-08', 'polo': 'negativo', 'text': 'hoy estamos frente a un hecho de enorme trascendencia: estamos haciendo una reparación, después de cuarenta años, no solo económica, sino también moral a cada uno de esos profesores que durante la dictadura sufrieron esta situación de injusticia. Después de cuarenta años, por primera vez el Estado chileno reconoce esta situación de injusticia. Por eso, valoro que el gobierno del Presidente Boric haya tenido la audacia y el coraje de reparar es...'}, {'fecha': '2024-11-25', 'polo': 'negativo', 'text': 'en primer lugar, quiero valorar este presupuesto en el siguiente sentido: nadie ha puesto en duda, ni en la discusión que hemos tenido ni en las distintas exposiciones que hemos escuchado, que es un estímulo para nuestra economía. Claramente, este presupuesto va a activarla, porque está orientado a incentivar la inversión en Chile y ello generará crecimiento. Además, tendrá un efecto multiplicador en el empleo y, a su vez, contribuirá, en part...'}, {'fecha': '2024-11-11', 'polo': 'negativo', 'text': 'al inicio de la discusión del proyecto de ley de presupuestos la primera pregunta que uno se tiene que hacer es si acaso este presupuesto responde a las inquietudes y realidades socioeconómicas que vive el país. Debemos despejar esa duda, porque esperamos es que el presupuesto de la nación recoja bien el diagnóstico de nuestra realidad. En ese sentido, al observar la situación del país, creo que en esto todos vamos a coincidir en esta Sala, no...'}]",-0.565739,-0.942822,-0.656312,-2.530943,-1.58812,1.58812,Mas moderado/a en discurso que en votacion tematica,False,360,24
Boris Barrera Moreno,boris barrera moreno,PC,PC + FRVS + AH,-0.622077,0.593973,0.016169,-0.653769,-0.590385,2,"[{'fecha': '2025-11-25', 'polo': 'negativo', 'text': 'hoy quedó en evidencia lo que ya sabíamos: las objeciones técnicas de la derecha de Kast no eran más que excusas basadas en argumentos sin sustento. Pero lo grave no son sus contradicciones, sino las consecuencias reales de su actuar, que pretendía paralizar derechos, beneficios y programas sociales claves para las chilenas y los chilenos. Eso no es un error técnico; es la muestra más clara de lo que representa la derecha de Kast: desfinanciam...'}, {'fecha': '2025-11-17', 'polo': 'negativo', 'text': 'la ultraderecha chilena, al igual que Bolsonaro en Brasil, Milei en Argentina y Trump en Estados Unidos, quiere recortar el Estado con una motosierra para reducirlo y privatizarlo. Los efectos ya los conocemos. Crean pobreza para la gran mayoría con el fin de concentrar la riqueza en los mismos pocos de siempre. Quiero decir con absoluta claridad que lo ocurrido con la tramitación del presupuesto hasta ahora es impresentable. En Chile, lejos d...'}, {'fecha': '2025-08-20', 'polo': 'negativo', 'text': 'saludo a todos los estudiantes que asisten a esta sesión representando a sus diferentes organizaciones. Hoy estamos frente a un debate histórico: una deuda que se arrastra en nuestro país, o que arrastra a miles de estudiantes y familias que se vieron obligadas a endeudarse para poder estudiar. El proyecto que crea el Fondo de Financiamiento para la Educación Superior, y que pone fin al Crédito con Aval del Estado, es una respuesta concreta a ...'}]",-0.833086,-1.445683,-0.919251,-1.914102,-0.468419,0.468419,Mas moderado/a en discurso que en votacion tematica,False,413,9
Emilia Schneider Videla,emilia schneider videla,FA,Frente Amplio,-0.610519,0.582415,0.009907,-0.629937,-0.591101,3,"[{'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'este proyecto lo tramitamos en la Comisión de Educación cuando era presidenta y logramos un acuerdo bastante transversal entre los distintos proyectos que presentamos los parlamentarios y parlamentarias para incorporar una regulación del uso de la tecnología en los establecimientos educacionales, en particular de los dispositivos móviles. No soy amiga de las prohibiciones; las prohibiciones no resuelven los problemas. Por eso, me parece muy bi...'}, {'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'como una de las autoras del proyecto “Yo cuido, yo estudio”, estoy muy contenta de que finalmente haya llegado el día de votarlo y de que esté tan cerca de ser ley, porque llegará a mejorar la vida de las y los estudiantes de Chile. Este proyecto resguarda los derechos de las y los estudiantes que cuidan, ya sea a un hijo, una hija o una persona dependiente o con discapacidad. Abordar los cuidados desde la educación, desde la política pública,...'}, {'fecha': '2025-11-26', 'polo': 'negativo', 'text': 'Para hablar en contra de la solicitud de resolución, tiene la palabra la diputada Emilia Schneider. este proyecto de resolución es un panfleto. No tiene información real sobre la educación chilena ni datos; se basa en eslóganes. Me sorprende ver a Chile Vamos, ver al diputado Rey defendiendo un proyecto de resolución de Republicanos. Pareciera ser que se pusieron como vagón de cola de la ultraderecha. Quiero interpelar a Chile Vamos para ver s...'}]",-0.615527,-1.036468,-0.836497,-1.87854,-0.842072,0.842072,Mas moderado/a en discurso que en votacion tematica,False,414,18
Tomás Lagomarsino Guzmán,tomas lagomarsino guzman,IND,Independientes,-0.610357,0.582253,0.028889,-0.666979,-0.553735,4,"[{'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'efectivamente, desde el inicio de esta legislatura hemos escuchado de este gobierno que la licitación del transporte público del Gran Valparaíso ya viene, pero no llega. En agosto de este año conocimos exclusivamente los contenidos esenciales del proyecto, pero todavía este no ha sido convocado. Lamentablemente, hemos conocido una nueva tragedia en el Gran Valparaíso, porque una persona ha perdido la vida, una estudiante de la Universidad de P...'}, {'fecha': '2024-10-07', 'polo': 'negativo', 'text': 'el título de este proyecto suena muy bien, modernizar la oferta en la educación parvularia, pero al leer su contenido, realmente, deja mucho que desear. Ejemplo de ello es la modificación del artículo decimoquinto transitorio que plantea postergar el plazo que tienen los establecimientos parvularios para recibir el reconocimiento del Estado de 2024 a 2034. Sí, tal como suena, no por dos años, no por cuatro años, no por seis años, no por ocho a...'}, {'fecha': '2024-05-30', 'polo': 'negativo', 'text': 'como país, a veces, nos vamos a los extremos. Todo es blanco o negro: o toda la educación debe estar en los municipios o toda la educación debe estar en el Estado centralizado. Los municipios son parte fundamental del Estado. Creo que la discusión, en su momento -no vale la pena llorar sobre la leche derramada-, fue poco flexible; muy rígida. Repito: o toda la educación se focalizaba en los municipios o toda en el Estado centralizado. Nos falt...'}]",-0.456906,-0.738114,-0.442125,-1.87804,-1.139925,1.139925,Mas moderado/a en discurso que en votacion tematica,False,315,33
Karol Cariola Oliva,karol cariola oliva,PC,PC + FRVS + AH,-0.589121,0.561017,0.019725,-0.627781,-0.550461,5,"[{'fecha': '2025-01-15', 'polo': 'negativo', 'text': 'hemos presentado esta solicitud de acuerdo para tratar un tema que no solo es crucial para el desarrollo equitativo de nuestro país, sino que también toca la raíz misma de la dignidad humana. Estoy hablando de las carencias críticas en territorios aislados y cómo estas afectan el bienestar de nuestros compatriotas de distintas maneras. En particular, quiero hacer referencia al archipiélago de Juan Fernández, cuyo alcalde reelecto, señor Pablo ...'}, {'fecha': '2025-01-08', 'polo': 'negativo', 'text': 'hoy nos reunimos para rendir homenaje a un ícono de nuestra cultura, de la televisión y un verdadero maestro de las artes escénicas, don Héctor Fernando Farías López, actor reconocido y querido por todos y todas las chilenas y los chilenos. Celebramos su vida, su trayectoria y su inmenso legado en el cine, en el teatro y en la televisión chilena. Muchos de nosotros y nosotras crecimos viendo a Fernando en nuestras pantallas, acompañando día a ...'}, {'fecha': '2024-09-23', 'polo': 'negativo', 'text': 'en primer lugar, quiero saludar y agradecer al diputado Luis Malla por esta iniciativa, y a todos los diputados y diputadas que lo acompañaron. Este es un proyecto que busca prohibir que la rendición de evaluaciones y la entrega de títulos sean condicionadas al pago de deudas arancelarias contraídas con las instituciones de educación superior. El hecho de que estudiantes de educación superior sean impedidos de rendir sus exámenes de grado o de...'}]",-0.641867,-1.086013,-0.74928,-1.812698,-0.726685,0.726685,Mas moderado/a en discurso que en votacion tematica,False,351,16
Gael Yeomans Araya,gael yeomans araya,PCS,Frente Amplio,-0.507925,0.47982,0.021863,-0.550775,-0.465074,6,"[{'fecha': '2025-09-02', 'polo': 'negativo', 'text': 'en primer lugar, quiero saludar a las mocionantes de esta iniciativa. Me parece muy importante y también expresivo de la realidad el hecho de que sean mujeres las que presenten este tipo de proyectos de ley, porque finalmente, por regla general, las mujeres son las que ven perjudicadas sus labores y la posibilidad de contar con trabajos remunerados porque tienen que hacerse cargo del cuidado de los hijos y muchas veces en los trabajos no hay c...'}, {'fecha': '2025-08-20', 'polo': 'negativo', 'text': 'hace algunos días, en la comuna de Pedro Aguirre Cerda me preguntaron unas vecinas por el proyecto de condonación del CAE, preocupadas porque sus hijos están endeudados. Primero, quiero decirles a esas vecinas que seguimos luchando por el derecho a la educación de sus hijos e hijas. La condonación del CAE es un problema real que afecta a miles de familias, que vieron en ese crédito la única opción para poder estudiar, pero que han tenido que p...'}, {'fecha': '2025-01-08', 'polo': 'negativo', 'text': '- primero, quiero saludar a las profesoras y a los profesores de Chile, representados por quienes nos acompañan en la tribuna. Gracias a su lucha y constancia estamos legislando sobre la materia. Mi reconocimiento a la constancia de quienes durante mucho tiempo estuvieron en la plaza de la Constitución, reclamando por este acto de justicia y de reparación. Vaya mi aplauso y mi reconocimiento para ustedes. Asimismo, a quienes se les va la memor...'}]",-0.637267,-1.077361,-0.816543,-1.562861,-0.485499,0.485499,Mas moderado/a en discurso que en votacion tematica,False,417,17
Daniela Serrano Salazar,daniela serrano salazar,PC,PC + FRVS + AH,-0.442936,0.414832,0.010433,-0.463384,-0.422489,7,"[{'fecha': '2025-12-17', 'polo': 'negativo', 'text': 'este proyecto de ley es necesario, aunque no soluciona absolutamente el problema que aqueja a las profesoras y a los profesores o a quienes se están formando en la docencia. Es una medida transitoria para atacar el déficit de docentes en nuestro país, que se proyecta en 33.000 profesores. Otros datos para acompañar este debate: tenemos una disminución de 43,3 por ciento en la matrícula de primer año de las carreras de pedagogía y una disminuci...'}, {'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'qué duda cabe de que los dispositivos tecnológicos, y en particular los teléfonos celulares, aparecieron en nuestras vidas para quedarse. Son imprescindibles en el mundo laboral, y muchas veces han generado una dificultad en la sala de clases cuando nos toca enfrentarnos a aquella realidad, cuando tenemos ansiedades, una competencia digital o adolescentes intentando hacerse conocidos en el mundo de las redes sociales. Sin embargo, muchas veces...'}, {'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'en el último año se ha hablado mucho sobre el descenso de la natalidad como un problema; sin embargo, cabe preguntarse si, como parlamentarios y parlamentarias, hemos aportado lo suficiente para mejorar las condiciones de aquellas personas que, aunque quieren ser padres y madres, deben terminar eligiendo entre criar, trabajar o estudiar. Sobre esto último, estamos discutiendo en esta Sala sobre el proyecto de ley denominado “Yo cuido, yo estud...'}]",-0.914035,-1.597941,-0.953623,-1.362895,0.235047,0.235047,Alta coincidencia texto-voto,False,416,4
Carolina Tello Rojas,carolina tello rojas,FA,PC + FRVS + AH,-0.438807,0.410703,0.016693,-0.471525,-0.406088,8,"[{'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'En discusión las modificaciones del Senado. hoy quiero invitar a pensar una escena sencilla y cotidiana, pero profundamente injusta, que se repite más de lo que pensamos. Una joven llega atrasada a su clase porque pasó la madrugada en la urgencia de un hospital equis, acompañando a su abuela, quien padece una crisis de salud. No había con quién dejarla; tampoco podía retirarse hasta que la viera un médico. Al llegar a la universidad, le inform...'}, {'fecha': '2025-03-10', 'polo': 'negativo', 'text': 'hoy nos convoca un debate fundamental para el futuro de la educación en nuestro país. ¿Queremos seguir midiendo el aprendizaje de nuestros niños y niñas con un simple número o queremos un sistema educativo que los acompañe, los motive y los ayude a crecer? Esa es una pregunta que nos tenemos que responder. El actual sistema de evaluación en los primeros años de educación básica, desde primero a cuarto básico, no está funcionando de la mejor ma...'}, {'fecha': '2025-01-06', 'polo': 'negativo', 'text': 'sin duda, el transporte remunera- do de escolares es no solo un elemento vital de movilización para miles de niñas, niños y adolescentes en nuestro país, sino también uno de protección. Hablamos de un transporte que, por sus características, tiene por objetivo brindar también resguardo y cuidado, algo que sabemos que es necesario que se perfeccione, sobre todo desde el aumento del estándar exigido a los transportistas escolares, con el fin de ...'}]",-0.704313,-1.203468,-0.841432,-1.350189,-0.14672,0.14672,Alta coincidencia texto-voto,False,403,14
Alejandra Placencia Cabello,alejandra placencia cabello,PC,PC + FRVS + AH,-0.417934,0.389829,0.016642,-0.450552,-0.385315,9,"[{'fecha': '2025-12-02', 'polo': 'negativo', 'text': 'para nosotras es importante este proyecto, porque cruza directamente la experiencia cotidiana de las comunidades escolares. En mi calidad de profesora, observo el uso de celulares y dispositivos digitales dentro de los establecimientos educacionales. Cotidianamente, escucho a colegas que ejercen en aulas, así como a madres, padres e incluso a estudiantes reconocer que la tecnología llegó para quedarse, pero también están de acuerdo en que se n...'}, {'fecha': '2025-10-07', 'polo': 'negativo', 'text': 'por su intermedio saludo al ministro Cataldo. Qué duda cabe de que Chile enfrenta una crisis, un déficit creciente de profesores y profesoras que amenaza la calidad de todo el sistema educativo. Claramente, este proyecto no es una solución mágica, pero sí una respuesta política y técnica a una urgencia que es nacional: asegurar que la educación pública tenga a los docentes que necesita y que ninguna vocación se pierda por barreras de ingreso r...'}, {'fecha': '2025-08-20', 'polo': 'negativo', 'text': 'hoy por fin estamos discutiendo el término de uno de los mecanismos más injustos que ha tenido nuestro país: el Crédito con Aval del Estado, un sistema que en vez de garantizar el derecho a la educación hipotecó la vida de cientos de miles de familias, obligándolas a endeudarse con bancos que lucraron con sus sueños y proyectos de vida. ¡Esa es la verdad! El CAE no solo significó un dolor de cabeza para generaciones de estudiantes, sino que ta...'}]",-0.908784,-1.588065,-0.917725,-1.285962,0.302102,0.302102,Mas extremo/a en discurso que en votacion tematica,False,357,5
Alberto Undurraga Vicuña,alberto undurraga vicuna,DC,DC,-0.41425,0.386146,0.028621,-0.470348,-0.358152,10,"[{'fecha': '2025-11-26', 'polo': 'negativo', 'text': 'sin duda, la migración irregular es un problema. No cabe duda de que tenemos que dar señales para paralizarla, además de hacer el necesario control de las fronteras. Una de esas señales es restringir los beneficios financiados por el Estado y no dar financiamiento para este tipo de beneficios a migrantes irregulares. Eso parece razonable. ¿Por qué gastar impuestos de los chilenos en migrantes irregulares, a los que queremos combatir? Entonces,...'}, {'fecha': '2024-11-27', 'polo': 'negativo', 'text': 'quiero comenzar valorando la disposición del ministro de Hacienda, de la subsecretaria de Hacienda, de la directora de Presupuestos y de la subsecretaria general de la Presidencia para lograr acuerdos que permitan sacar adelante este presupuesto. Lo que inicialmente se presentó, en lo global podía estar bien, pero tenía muchos detalles sobre los cuales había que trabajar. Quiero destacar algunas de las mejoras que, a través de acuerdos, logram...'}, {'fecha': '2024-11-25', 'polo': 'negativo', 'text': 'por su intermedio, saludo al ministro y a la ministra presentes en la Sala. En este tercer trámite del proyecto de ley de presupuestos, quiero valorar los acuerdos escalonados o acuerdos sucesivos que hemos ido logrando. Algunos de ellos los alcanzamos aquí, en la Cámara de Diputadas y Diputados, y otros se lograron en el Senado. Particularmente quiero valorar tres de ellos. El primero en salud, el aporte de esta Cámara en materia de listas es...'}]",-0.340996,-0.520095,-0.462518,-1.274628,-0.754533,0.754533,Mas moderado/a en discurso que en votacion tematica,False,316,39
