name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Jorge Guzmán Zepeda,jorge guzman zepeda,EVOP,Chile Vamos,-0.805062,-0.84831,0.018939,-0.842182,-0.767942,1,"[{'fecha': '2025-03-12', 'polo': 'negativo', 'text': 'es realmente indignante, frustrante y molesto, y genera una serie de situaciones negativas para el país, estar en conocimiento de organizaciones que son verdaderas bandas criminales que se dedican a defraudar a través de la emisión fraudulenta de licencias médicas. Un solo caso, que involucró principalmente a médicos colombianos, significó para el país un perjuicio patrimonial de más de 26.000 millones de pesos en licencias falsas, emitidas ta...'}, {'fecha': '2025-01-22', 'polo': 'negativo', 'text': 'En representación del Comité Evolución Política, tiene la palabra el diputado Jorge Guzmán. la ministra señaló con dureza: “Es fácil levantar discursos simples de temas que son muy complejos”. Y justamente a usted, ministra, la nombraron para resolver temas complejos y no para hacer discursos. La verdad es que respuestas y soluciones a estos problemas no hemos visto. Adicionalmente, a su gobierno, ministra, se le olvida que llegaron al gobiern...'}, {'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'Gracias, diputado. por su intermedio quiero saludar a la ministra. Quiero señalar algo que es sumamente importante: la salud en Chile está enferma, ministra. Si hay alguien que está poniéndole el pecho a las balas y dándole remedio a la salud esos son los funcionarios de la salud, a quienes aprovecho de saludar. Pero, claramente, la situación es sumamente compleja, y desde el gobierno no se están atendiendo las necesidades en la forma que corr...'}]",0.460993,0.908284,0.080102,2.588502,1.680218,1.680218,Mas extremo/a en discurso que en votacion tematica,False,144,56
Stephan Schubert Rubio,stephan schubert rubio,PREP,Independientes,-0.648143,-0.691391,0.026242,-0.699578,-0.596708,2,"[{'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'A continuación, tiene la palabra el diputado Stephan Schubert. en agosto, se terminó el hilo de coser en el hospital regional de La Araucanía, ya que al igual que en otros hospitales, los proveedores dejaron de entregar insumos, debido a las millonarias deudas y extensos retrasos en los pagos. Hoy, tenemos intervenciones quirúrgicas retrasadas no por falta de especialistas o de pabellón, sino por falta de gasa, sutura y oxígeno. Las listas de ...'}, {'fecha': '2024-11-11', 'polo': 'negativo', 'text': 'este proyecto de ley es el más importante del año y será el último presupuesto que ejecutará el Presidente Gabriel Boric, además, en un año electoral. Pero ¿cuál es el escenario en el que se inserta esta discusión? Tenemos un Imacec del último mes de cero por ciento; un IPC que puede llegar al 4,3 o 4,4 por ciento; un crecimiento proyectado para los próximos diez años de 1,8 por ciento; un fondo de reserva que pasó de 7.000 millones a 3.000 mi...'}, {'fecha': '2024-10-16', 'polo': 'negativo', 'text': 'Finalmente, corresponde el uso de la palabra al Comité Republicanos. en este día, en que celebramos el Día del Profesor, quiero hacer una reflexión sobre la dignidad, la importancia y el heroísmo de nuestros profesores a lo largo de Chile. En el contexto actual que enfrenta nuestro país, los profesores emergen como figuras fundamentales en la construcción de un futuro más justo y esperanzador. Su labor, ya de por sí esencial, cobra una relevan...'}]",0.935834,1.779119,0.591946,2.083963,0.304844,0.304844,Alta coincidencia texto-voto,False,164,70
Andrés Longton Herrera,andres longton herrera,RN,Chile Vamos,-0.574327,-0.617575,0.028643,-0.630468,-0.518186,3,"[{'fecha': '2025-11-26', 'polo': 'negativo', 'text': 'la realidad es que en 2021 ingresaron 109.000 inmigrantes de manera ilegal a nuestro país y en 2023, según el INE, había 336.984. Durante este gobierno habrá un récord de inmigrantes ilegales, con más de 145.000 a la fecha. El gobierno constantemente hace una comparación con las cifras de 2021, pero se olvida de que en 2018, 2019 y 2020 hubo una tasa muy baja de inmigración ilegal. Repito: constantemente se refiere al año 2021 para decir que l...'}, {'fecha': '2025-11-17', 'polo': 'negativo', 'text': 'por su intermedio, en la misma línea de lo planteado por el diputado Teao, el per cápita en salud es absolutamente insuficiente, no ha crecido ni un poco. En ese sentido, la necesidad de mayores insumos y de mejoramiento en la atención de salud, particularmente por el aumento de la afluencia de público y de adultos mayores, requiere un per cápita superior del que existe actualmente, y eso lamentablemente no está ocurriendo. Por otro lado, los ...'}, {'fecha': '2024-11-25', 'polo': 'negativo', 'text': 'saludo por su intermedio al ministro de Hacienda, a la subsecretaria de dicha cartera y a la directora de Presupuestos. En el proyecto de ley de presupuestos ha habido avances y también algunos retrocesos. Creemos que es un avance lo que tiene que ver con el Sistema de Admisión Escolar, sobre todo considerando el compromiso relativo a la suspensión del método de selección conocido como “la tómbola” y la modificación de la ley para efectos de p...'}]",0.409468,0.81379,0.114215,1.846623,1.032833,1.032833,Mas extremo/a en discurso que en votacion tematica,False,148,52
Camila Rojas Valderrama,camila rojas valderrama,COMUNES,Frente Amplio,-0.487069,-0.530317,0.028074,-0.542095,-0.432044,4,"[{'fecha': '2025-10-14', 'polo': 'negativo', 'text': 'hechos de violencia ocurren a diario y desde este Congreso nos preguntamos cómo enfrentarlos o, más importante aún, cómo prevenirlos. Este proyecto de ley, en teoría, va en ese sentido. Y digo “en teoría” porque si bien habilita a contar con pórticos de detección de metales en establecimientos educacionales y también en establecimientos de salud, no hay certeza alguna de que aquello pueda reducir o disuadir la violencia. Efectivamente, asisten...'}, {'fecha': '2025-03-04', 'polo': 'negativo', 'text': 'para el estallido social se viralizó una pancarta que decía: “Por ti, mamá, que te llamaron del hospital cuando ya te estábamos velando”. Este ha sido uno de muchos casos y una realidad histórica respecto de las listas de espera. Para el 2023, el 82 por ciento de las personas de nuestro país estaba en el Fonasa. Ese número solo ha ido aumentando en los últimos años, sobre todo por la crisis y la ineficiencia conocida que han tenido las isapres...'}, {'fecha': '2024-04-24', 'polo': 'negativo', 'text': 'luego de escuchar la discusión que se dio en la Comisión de Hacienda, pero también la que hubo en general aquí en la Sala, me parece que algunos, al menos, han perdido de vista la verdadera causa por la cual nos encontramos aquí. Es muy importante recordar que, año tras año, los usuarios de las isapres acudieron masivamente al sistema de justicia, porque hubo contra ellos cobros unilaterales y abusivos por parte de las isapres. Fue precisament...'}]",-0.691964,-1.206182,-0.848651,1.566066,2.772248,2.772248,Mas extremo/a en discurso que en votacion tematica,False,146,8
Carlos Bianchi Chelech,carlos bianchi chelech,IND,Independientes,-0.456904,-0.500152,0.030314,-0.516319,-0.397488,5,"[{'fecha': '2024-11-25', 'polo': 'negativo', 'text': 'quiero expresar mis más sentidas condolencias a quienes están dentro del sector político de nuestra colega recientemente fallecida. Tal como se les comentaba al ministro Mario Marcel, a la directora de Presupuestos y a las autoridades con las que nos reunimos hace poco rato, hay que mirar el debate del proyecto de ley de presupuestos bajo la perspectiva de logros importantes que debemos resaltar y que fueron mucho más allá de la propia discusi...'}, {'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'Estimado señor Presidente, parto por valorar la presencia, una vez más, de la ministra, tal cual lo hizo en la discusión de la Comisión Especial Mixta de Presupuestos. Fue una gran contribución poder estar allí, teniendo un diálogo con la ministra para avanzar en lo que va a significar el protocolo. Entiendo que, una vez finalizadas las distintas intervenciones, la ministra de Salud o el ministro de Hacienda dará cuenta de muchos de los temas ...'}, {'fecha': '2024-11-11', 'polo': 'negativo', 'text': 'Tiene la palabra el Diputado Carlos Bianchi. saludo, por su intermedio, a los ministros, a las subsecretarias y a la directora de Presupuestos, presentes en esta Sala. Efectivamente, estamos frente a una situación económica poco habitual en el país. Eso, para mi gusto, hizo que el Ministerio de Hacienda tuviera una actitud que pocas veces se ve, o que casi nunca se ve, de allanarse al comienzo de la discusión en las respectivas subcomisiones e...'}]",-0.179855,-0.266999,-0.510027,1.469075,1.736074,1.736074,Mas extremo/a en discurso que en votacion tematica,False,142,36
Henry Leal Bizama,henry leal bizama,UDI,Chile Vamos,-0.444327,-0.487575,0.012085,-0.468013,-0.420641,6,"[{'fecha': '2025-06-30', 'polo': 'negativo', 'text': 'votaremos a favor el informe de la comisión especial investigadora de listas de espera. Se trata de un informe completo, que refleja el gran trabajo efectuado. La comisión sesionó en varios lugares del territorio nacional y sus conclusiones eran bastante previsibles: el Estado y el gobierno actual, que lo administra, les han fallado a nuestros enfermos, porque hoy la gente se está muriendo por no recibir atención oportuna. Se suspenden cirugía...'}, {'fecha': '2025-03-04', 'polo': 'negativo', 'text': 'por su intermedio, me dirijo a la señora ministra. En Chile existe una realidad evidente, más allá de las diferencias que podamos tener: tenemos el triste récord de más de tres millones de pacientes en listas de espera, y esa es una realidad cierta e indesmentible. Por eso, frente a todo esfuerzo que vaya orientado a mejorar esas cifras y los tiempos, tenemos que estar de acuerdo y apoyarlo. En ese sentido, tengo algunas dudas respecto de este...'}, {'fecha': '2025-01-22', 'polo': 'negativo', 'text': 'Presidenta, por su intermedio saludo a la señora ministra y a los ministros presentes en la Sala. Ministra, hoy la interpelamos por un tema que es muy relevante para los chilenos: las listas de espera y los problemas de probidad en los distintos hospitales de Chile. Esta interpelación, seguramente, va a demorar dos horas. Mientras conversemos, en esas dos horas van a morir en Chile, en promedio, de diez a doce personas que hoy día están en una...'}]",0.57884,1.12441,0.176014,1.428637,0.304227,0.304227,Alta coincidencia texto-voto,False,140,64
Jaime Naranjo Ortiz,jaime naranjo ortiz,PS,Socialismo Democrático,-0.413373,-0.456621,0.039835,-0.49145,-0.335295,7,"[{'fecha': '2024-12-11', 'polo': 'negativo', 'text': 'como muy bien señalaron los diputados informantes, esta es una aspiración muy legítima de quienes cumplen labores técnicas en el área de la salud. Se trata de una demanda histórica que venimos escuchando hace muchos años por parte de los diferentes gremios que representan a quienes desempeñan dichas labores. En consecuencia, quiero valorar que el gobierno del Presidente Boric, a través de su ministra de Salud, haya impulsado y concretizado est...'}, {'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'saludo a la ministra de Salud, que está presente con nosotros. Creo que por primera vez, cuando uno escucha las distintas exposiciones de las parlamentarias y parlamentarios, encuentra una coincidencia en el diagnóstico y en la grave crisis que vive el sistema de salud. Sin embargo, todas las solicitudes que se hacen -mejorar la infraestructura hospitalaria, acelerar las listas de espera para ver especialistas u operacionesrequieren recursos e...'}, {'fecha': '2024-11-11', 'polo': 'negativo', 'text': 'al inicio de la discusión del proyecto de ley de presupuestos la primera pregunta que uno se tiene que hacer es si acaso este presupuesto responde a las inquietudes y realidades socioeconómicas que vive el país. Debemos despejar esa duda, porque esperamos es que el presupuesto de la nación recoja bien el diagnóstico de nuestra realidad. En ese sentido, al observar la situación del país, creo que en esto todos vamos a coincidir en esta Sala, no...'}]",-0.545197,-0.93702,-0.656312,1.32911,2.26613,2.26613,Mas extremo/a en discurso que en votacion tematica,False,155,18
Felipe Camaño Cárdenas,felipe camano cardenas,IND,Independientes,-0.396744,-0.439992,0.036318,-0.467928,-0.325561,8,"[{'fecha': '2025-09-29', 'polo': 'negativo', 'text': 'discutimos un proyecto para autorizar que los colegios y los centros de salud puedan contar con detectores de metales. Se trata de un proyecto muy triste, porque nos habla de la cruda realidad de nuestros colegios y de nuestra sociedad, en donde la violencia se está apoderando de todos los espacios. Debemos llegar a medidas como esta para proteger a nuestra sociedad y, en especial, a nuestra juventud. En marzo del año pasado, el Colegio Salesi...'}, {'fecha': '2023-11-22', 'polo': 'negativo', 'text': 'Para hablar a favor de la solicitud de resolución, tiene la palabra el diputado Felipe Camaño. como diputados y diputadas, hoy venimos a pedir al Presidente de la República que incluya a los trabajadores sociales en el Código Sanitario. Esta es una demanda histórica del gremio, que nace de la mano de los primeros equipos de salud en el país. Desde 1925 vienen desarrollado una labor irremplazable en la salud pública de Chile. Es más, en Chile s...'}, {'fecha': '2023-11-16', 'polo': 'negativo', 'text': 'en Chile hoy vivimos una crisis en materia de salud. Hay cientos de chilenos y chilenas que mueren antes de que las listas de espera avancen. Esa es una herida que debemos curar. Hay nuevos hospitales semiparalizados, los que podrían cambiarles la vida a las personas y entregarles la dignidad que merecen. El presupuesto de salud es insuficiente. Llegamos a la discusión de este presupuesto con programas rechazados por unanimidad en la Comisión ...'}]",-0.04454,-0.018839,-0.321463,1.275645,1.294484,1.294484,Mas extremo/a en discurso que en votacion tematica,False,118,39
Gael Yeomans Araya,gael yeomans araya,PCS,Frente Amplio,-0.369995,-0.413242,0.032428,-0.433554,-0.306435,9,"[{'fecha': '2024-12-11', 'polo': 'negativo', 'text': 'quiero saludar y hacerme parte del reconocimiento a las trabajadoras y a los trabajadores de la salud que contempla el contenido de este proyecto de ley. En ese sentido, me parece fundamental reconocer y valorar el rol esencial que cumplen día a día, pero también la labor que realizaron con especial compromiso durante la pandemia. Además, quiero saludar el compromiso que tuvo el gobierno para hacerse cargo de esta solicitud, que entre 2023 y 2...'}, {'fecha': '2024-11-14', 'polo': 'negativo', 'text': 'Ha concluido su tiempo, diputada. por su intermedio saludo a la ministra de Salud y celebro que esté presente en una discusión tan importante como esta. Cuando hablamos del Ministerio de Salud en la discusión del proyecto de ley de presupuestos, hablamos de una de las áreas prioritarias, no solo para el gobierno, sino también para la ciudadanía. Por ello, se debe poner énfasis en el gasto, pero no entenderlo simplemente como un gasto, porque e...'}, {'fecha': '2024-05-13', 'polo': 'negativo', 'text': 'el sistema de isapres fracasó, no dio el ancho, y, además, fracasó en su propia ley. Nos dijeron que el sistema privado era lo más eficiente del mundo, y resulta que van a tener que presentar medidas para mejorar su eficiencia, conforme a lo establecido en este proyecto de ley. Nos dijeron que el mercado era justo, que se regula solo, y terminaron abusando de todos sus afiliados con cobros discriminatorios e ilegales. Lo paradójico es que las ...'}]",-0.682212,-1.188298,-0.816543,1.189637,2.377935,2.377935,Mas extremo/a en discurso que en votacion tematica,False,153,10
Francisco Undurraga Gazitúa,francisco undurraga gazitua,EVOP,Chile Vamos,-0.367415,-0.410663,0.036261,-0.438486,-0.296343,10,"[{'fecha': '2025-09-29', 'polo': 'negativo', 'text': 'quiero señalar varias cosas en relación con este proyecto, que no me cabe ninguna duda de que tiene grandes y muy buenas intenciones. Qué mejor que prevenir no solo el cáncer, sino todo tipo de enfermedades. Pero me parece que este proyecto contiene varias situaciones que deberían haber sido contempladas al menos por la Secretaría de la comisión. El mayor empleador en Chile es el Estado, y en este proyecto no veo un patrocinio del Ministerio d...'}, {'fecha': '2024-04-24', 'polo': 'negativo', 'text': 'por su intermedio saludo a la ministra Ximena Aguilera, a nuestro excolega Víctor Torres y al ministro Álvaro Elizalde. Si caen las isapres, caen con ellas casi tres millones de beneficiarios, que se verán obligados a emigrar al sistema público. Si colapsa el sistema privado, serán los chilenos quienes deberán ingresar a un sistema ya saturado y que no da abasto. No me quiero detener en los responsables, sino en los perjudicados. Nadie quiere ...'}, {'fecha': '2023-11-20', 'polo': 'negativo', 'text': 'Para plantear un punto de Reglamento, tiene la palabra el diputado Francisco Undurraga. sobre la Cuenta, en particular respecto de lo consignado en el punto N° 9, sin perjuicio de que entiendo la motivación de los diputados mocionantes respecto del proyecto de ley correspondiente al boletín N° 16428-04, que establece un sistema de protección para estudiantes de educación superior que requieren cuidados en su salud mental, solicito que esta ini...'}]",0.402088,0.800255,0.097448,1.181343,0.381088,0.381088,Alta coincidencia texto-voto,False,159,50
