name,name_norm,partido,pacto,tbip,tbip_raw,sigma_x,ci_low,ci_high,rank_tbip,interventions,nominate_1d,nominate_z,nominate_general_1d,tbip_z,divergencia,abs_divergencia,clasificacion,caso_incierto,n_votos,rank_nominate
Hotuiti Teao Drago,hotuiti teao drago,IND,Independientes,-0.850346,0.803844,0.021943,-0.893354,-0.807337,1,"[{'fecha': '2025-11-24', 'polo': 'negativo', 'text': 'iorana. Hoy quiero dirigirme a esta honorable Cámara para hablar sobre una actividad que representa tanto el potencial como las deudas pendientes de nuestro país en temas marítimos: el buceo profesional. En regiones como la de Valparaíso el buceo constituye un pilar fundamental para el ecoturismo, la educación ambiental y la investigación científica. Nuestra riqueza marina, alimentada por la corriente de Humboldt, ofrece ecosistemas únicos y n...'}, {'fecha': '2025-06-18', 'polo': 'negativo', 'text': 'Continúa la sesión. iorana. Sabemos que la economía ha mostrado ciertos signos de recuperación y que la inflación ha disminuido. Sin embargo, la realidad que viven muchas familias sigue siendo tensa, ajustada y llena de incertidumbre. Una cosa son las cifras y otra muy distinta es el contexto real de miles de hogares, especialmente los de la clase media, que muchas veces no califican para beneficios sociales y, por tanto, deben asumir solos el...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'sabemos que la economía ha mostrado ciertos signos de recuperación y que la inflación ha disminuido. Sin embargo, la realidad que viven muchas familias sigue siendo tensa, ajustada y llena de incertidumbre, porque una cosa son las cifras y otra muy distinta es el contexto real de miles de hogares, especialmente de los de la clase media, que muchas veces no califican para beneficios sociales y deben, por tanto, asumir solos el alza constante en...'}]",0.254314,0.705785,0.140539,-2.19284,-2.898625,2.898625,Mas moderado/a en discurso que en votacion tematica,False,104,34
Erika Olivera De La Fuente,erika olivera de la fuente,IND,Independientes,-0.787951,0.741449,0.016288,-0.819874,-0.756027,2,"[{'fecha': '2025-06-03', 'polo': 'negativo', 'text': 'quiero partir saludando a los distintos dirigentes del distrito N° 9, que represento, a feria Los Sauces, a su dirigente Marco San Martín, a la feria Loyola, ubicada en la comuna de Cerro Navia, y a la señora Marcelina Laserna. También saludo a las organizaciones que trabajaron en este proyecto: a las señoras Carla Muñoz, vocera de la Coordinadora Nacional de Ferias Libres, y Paola Morales, presidenta de la Confederación Gremial Nacional de Or...'}, {'fecha': '2024-11-05', 'polo': 'negativo', 'text': 'Para hablar a favor, tiene la palabra la diputada Érika Olivera. uno de los importantes motores económicos de nuestro país es la agricultura, y en general la comercialización de los productos mediante distintos canales, lugares, centros, etcétera. Entre otros casos, la economía de barrios se mueve alrededor del funcionamiento de una feria libre como principal lugar y momento de abastecimiento familiar de productos esenciales para la vida, espe...'}, {'fecha': '2024-07-08', 'polo': 'negativo', 'text': 'desde la aprobación de la “ley Karin”, sobre prevención, investigación y sanción del acoso laboral, sexual o de violencia en el trabajo, se ha generado un virtuoso fenómeno de concientización sobre el acoso laboral en todo nivel. Se han realizado cursos de capacitación para trabajadores y empleadores, tanto del sector público como del sector privado, así como charlas y actividades que buscan divulgar la importancia de la prevención del acoso y...'}]",0.164491,0.475052,-0.273601,-2.031937,-2.506989,2.506989,Mas moderado/a en discurso que en votacion tematica,False,149,33
Ana María Gazmuri Vieira,ana maria gazmuri vieira,PAH,PC + FRVS + AH,-0.600377,0.553875,0.018566,-0.636767,-0.563987,3,"[{'fecha': '2025-09-29', 'polo': 'negativo', 'text': 'quiero partir mi intervención valorando la presentación del presente proyecto, ya que implica un avance significativo en la protección de los derechos laborales y la salud de las trabajadoras y los trabajadores, especialmente cuando hablamos de prevención, apoyo, contención y acceso a un diagnóstico oportuno de enfermedades tan graves como el cáncer gástrico. En ese sentido, incluir los exámenes pertinentes para detectar a tiempo enfermedades ...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'En discusión las modificaciones del Senado. nuevamente nos ocupa esta importante materia para trabajadoras y trabajadores de nuestro país, pues, tal como indica la idea matriz del proyecto, el objetivo es avanzar en estándares que garanticen una remuneración mínima adecuada y la debida protección social para los niveles salariales de menor ingreso, permitiendo vivir dignamente a trabajadoras y trabajadores. Es pertinente que hablemos de justic...'}, {'fecha': '2025-04-08', 'polo': 'negativo', 'text': 'Continúa la sesión. estamos ad portas de aprobar un importante proyecto de ley, que por años ha sido una de las demandas más sentidas de las organizaciones de ferias libres en nuestro país. Esto no solo implica un reconocimiento al aporte que hacen las ferias libres para nuestro desarrollo económico, local y territorial, así como a su rol clave en la alimentación familiar, sino que además facilita la formalización de los trabajadores comercian...'}]",-0.321244,-0.772687,-0.932431,-1.548229,-0.775542,0.775542,Mas moderado/a en discurso que en votacion tematica,False,162,13
Carolina Tello Rojas,carolina tello rojas,FA,PC + FRVS + AH,-0.483513,0.437012,0.020728,-0.524141,-0.442886,4,"[{'fecha': '2025-11-24', 'polo': 'negativo', 'text': 'este proyecto de ley, que incorpora el contrato de buceo y actividades conexas al Código del Trabajo, es un proyecto del todo necesario porque tiene como objetivo regular de manera específica este trabajo, estableciendo estándares claros en materia de seguridad -eso me parece central en este rubro-, equipamiento, dotación mínima, registro de operaciones y, muy importante, la responsabilidad de las empresas. Busca dar respuesta a una actividad ...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'hoy estamos frente a una señal concreta de compromiso cumplido: por primera vez en nuestra historia el ingreso mínimo mensual supera los 500.000 pesos. Se trata de un aumento histórico, que beneficiará directa- mente a miles de trabajadoras y trabajadores en todo el país, especialmente en regiones como la nuestra, la Región de Coquimbo, a la cual represento, donde esta medida cobra un sentido real y urgente. En nuestra región, este reajuste al...'}, {'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'quiero expresar mi respaldo al proyecto de ley que reajusta el ingreso mínimo mensual, porque representa una herramienta concreta para mejorar la calidad de vida de miles de trabajadores y trabajadoras en nuestro país, especialmente en nuestra Región de Coquimbo. Este reajuste, que elevará el salario mínimo a 539.00 pesos en enero del 2026, es fruto de un acuerdo amplio entre el gobierno y distintos actores sociales. Está acompañado de medidas...'}]",-0.426636,-1.043414,-0.841432,-1.246866,-0.203452,0.203452,Alta coincidencia texto-voto,False,164,4
Daniel Melo Contreras,daniel melo contreras,PS,Socialismo Democrático,-0.36789,0.321389,0.027676,-0.422135,-0.313646,5,"[{'fecha': '2025-06-18', 'polo': 'negativo', 'text': 'cada etapa de la vida merece ser protegida, y la vejez no puede ser la excepción a la regla. Hoy más que nunca necesitamos políticas públicas que reconozcan la dignidad, el aporte y los derechos de las personas mayores. Este proyecto de ley de envejecimiento positivo representa un avance significativo en esa dirección. Esta iniciativa no solo reconoce derechos fundamentales para quienes están en la tercera y cuarta edad, sino que también forta...'}, {'fecha': '2025-06-03', 'polo': 'negativo', 'text': 'Continúa la sesión. quiero partir mi intervención saludando a las y los dirigentes de la Confederación Gremial Nacional de Organizaciones de Ferias Libres, de la Federación Nacional de Sindicatos de Ferias Libres, Persas y Anexos y de la Coordinadora Nacional de Ferias Libres que nos acompañan en las tribunas. Ellos han sido un pilar fundamental en la lucha para mejorar las condiciones de trabajo, reconocimiento y avance de las ferias libres e...'}, {'fecha': '2025-04-22', 'polo': 'negativo', 'text': 'hay una ley que no nació en el Congreso, sino en una sala oscura, con boletas y coimas. Un exsenador de la UDI está preso por ese motivo, porque fue el brazo político de una operación corrupta que le regaló el mar a siete familias. No se trata de legislar mirando hacia el pasado, pero tampoco nos podemos hacer los lesos con la historia reciente de nuestro país, la cual, con esta futura ley, comenzamos a cambiar de cara a la ciudadanía, por más...'}]",-0.305056,-0.731105,-0.655472,-0.948702,-0.217597,0.217597,Alta coincidencia texto-voto,False,157,14
Ana María Bravo Castro,ana maria bravo castro,PS,Socialismo Democrático,-0.362705,0.316203,0.030331,-0.422153,-0.303257,6,"[{'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'es una realidad, no una frase cliché, que a las familias de Chile y de la Región de Los Ríos, que yo represento, les cuesta cada vez más llegar a fin de mes. Las familias de Chile tienen crecientes dificultades para hacer frente al costo de la vida. Por ello, resulta urgente avanzar hacia una normativa que no solo contemple un aumento progresivo del sueldo mínimo, sino que también articule este incremento con instrumentos complementarios, como...'}, {'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'no es un secreto el daño profundo que la dictadura infligió al sistema previsional chileno. Algunos, como la Asociación de AFP, prometieron que desde 2020 los trabajadores y trabajadoras se jubilarían recibiendo el ciento por ciento de su sueldo. Sin embargo, esa promesa quedó en nada, convirtiéndose en una de las mayores injusticias para quienes dedicaron años de esfuerzo y trabajo, confiando en una vejez tranquila y digna. Esa ilusión se esf...'}, {'fecha': '2025-01-14', 'polo': 'negativo', 'text': 'claramente, a través de la tramitación y, esperamos, aprobación de este proyecto de ley estamos avanzando en dignificar la labor, el trabajo y el deber ciudadano que cumplen los vocales de mesa. Ya no solo opera una compensación económica, respecto de la que varios en esta Sala estamos de acuerdo que aún es insuficiente. A través de este proyecto de ley, el Estado se hace cargo de una problemática y de una carga aún mayor que tienen muchos tra...'}]",-0.378724,-0.920339,-0.649081,-0.935329,-0.014991,0.014991,Alta coincidencia texto-voto,False,160,8
Maite Orsini Pascal,maite orsini pascal,RD,Frente Amplio,-0.353599,0.307097,0.031527,-0.415391,-0.291807,7,"[{'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'en 2022 más de 800.000 personas ganaban el sueldo mínimo. Más allá de las cifras, me gustaría que tuviéramos en cuenta qué significa eso. Son personas que no dan el mínimo en sus trabajos; se les exige el máximo, pero se les paga el mínimo. Ellas trabajan jornadas completas, cumplen con sus horarios y funciones, y a fin de mes llevan un salario a sus casas que no les alcanza para sobrevivir. Hoy, nosotros, los parlamentarios, que ganamos mucho...'}, {'fecha': '2025-01-29', 'polo': 'negativo', 'text': 'el sistema de las AFP ha demostrado ser un fracaso rotundo. Mientras los jubilados reciben pensiones de miseria que no alcanzan ni siquiera para cubrir los gastos mínimos de supervivencia, los dueños de las aseguradoras se reparten millones de dólares en utilidades. Este modelo ha convertido el ahorro previsional en un negocio privado a costa de los trabajadores y las trabajadoras. Las AFP y la capitalización individual son parte del problema,...'}, {'fecha': '2023-11-06', 'polo': 'negativo', 'text': 'sin lugar a dudas, una de las preguntas más complejas que debe enfrentar una persona que se encuentra buscando trabajo es aquella que debe responder a su potencial empleador respecto de la remuneración en medio de un proceso de selección. Con la incertidumbre y la eventual angustia que muchas veces eso significa, este le pregunta: “¿Cuál es su pretensión de renta?”. Es decir, las personas que buscan empleo, además de presentar sus mejores cred...'}]",-0.511312,-1.260928,-0.836504,-0.911848,0.349081,0.349081,Mas extremo/a en discurso que en votacion tematica,False,154,2
Karol Cariola Oliva,karol cariola oliva,PC,PC + FRVS + AH,-0.338788,0.292287,0.024097,-0.386017,-0.291559,8,"[{'fecha': '2024-06-19', 'polo': 'negativo', 'text': 'antes de partir con la defensa de esta solicitud de acuerdo, quiero saludar a las y los dirigentes de la Confederación Gremial Nacional de Organización de Ferias Libres, Persas y Afines, que reúne desde el norte hasta el sur a un gremio tan relevante para la idiosincrasia, la cultura y la subsistencia de nuestro país. Los dirigentes hoy nos acompañan desde las tribunas, porque para ellas y ellos es crítico y determinante que se apruebe esta so...'}, {'fecha': '2023-11-15', 'polo': 'negativo', 'text': 'quiero decir que este es un presupuesto que se condice con lo que el Ejecutivo ha venido haciendo, que es mejorar las condiciones de vida de los trabajadores y trabajadoras. El presupuesto del Ministerio del Trabajo contempla pagar la pensión garantizada universal a más de 2 millones de personas durante 2024. Quiero decirles a mis colegas de enfrente que si les preocupa tanto la PGU, si les preocupan tanto las mujeres de 60 años, entonces apru...'}, {'fecha': '2023-04-11', 'polo': 'negativo', 'text': '¿Habría acuerdo? No hay acuerdo. Vamos a proponer alguna solución para que este proyecto pueda ser votado el día de hoy. lo primero que quiero decir es ¡al fin! ¡Al fin llegó este momento!, el último trámite para que las cuarenta horas sean ley de la república. Agradezco a los trabajadores y a las trabajadoras de Chile, particularmente a quienes se encuentran presentes en las tribunas, y también a quienes están afuera porque el Partido Republi...'}]",-0.210234,-0.48753,-0.74928,-0.873654,-0.386125,0.386125,Mas moderado/a en discurso que en votacion tematica,False,187,20
Boris Barrera Moreno,boris barrera moreno,PC,PC + FRVS + AH,-0.335652,0.28915,0.018209,-0.371341,-0.299962,9,"[{'fecha': '2025-06-18', 'polo': 'negativo', 'text': 'me parece importante recordar cómo la discusión del salario mínimo llegó a la Comisión Mixta. El Senado rechazó la creación, a nivel legal, de una instancia que aportara insumos técnicos para la discusión salarial, argumentando que aplicaba gasto público. Lo que el Senado rechazó -afortunadamente, ello se pudo recuperar en la Comisión Mixta, aunque sin financiamiento- fue la creación del observatorio de ingresos y costo de la vida de las traba...'}, {'fecha': '2025-06-09', 'polo': 'negativo', 'text': 'saludo por su intermedio a la nueva directiva de la Central Unitaria de Trabajadores. Su compromiso con el diálogo social ha sido clave para avanzar en este acuerdo, que busca algo tan esencial como mejorar los salarios de quienes día a día sacan adelante y hacen crecer al país. Me parece lamentable ver cómo se sigue postergando este debate mientras miles de trabajadoras y trabajadores esperan con urgencia un aumento del ingreso mínimo, que le...'}, {'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'saludo a la ministra, al ministro, al subsecretario y también a los representantes de la Central Unitaria de Trabajadores, quienes, a través del diálogo social, han contribuido de manera sustancial a este acuerdo por la mejora de los salarios de las trabajadoras y los trabajadores. El aumento del salario mínimo a 529.000 pesos a partir del 1 de mayo de este año y luego a 539.000 en enero del 2026 permitirá al menos mantener el poder adquisitiv...'}]",-0.38357,-0.932788,-0.919251,-0.865566,0.067222,0.067222,Alta coincidencia texto-voto,False,198,6
Nathalie Castillo Rojas,nathalie castillo rojas,PC,PC + FRVS + AH,-0.307407,0.260906,0.019523,-0.345672,-0.269142,10,"[{'fecha': '2025-11-03', 'polo': 'negativo', 'text': 'No se encuentra. apoyar este proyecto de ley es ponernos del lado correcto, es estar con las y los artistas organizados y organizadas, porque detrás de cada canción que acompaña nuestras vidas hay intérpretes, voces y músicos que hasta ahora no están protegidos como corresponde. Repito un ejemplo que otros diputados han mencionado: un músico de Coquimbo, el creador del tema Un año más, Hernán Gallardo Pavez, quien transformó en símbolo naciona...'}, {'fecha': '2025-05-14', 'polo': 'negativo', 'text': 'Ha concluido su tiempo, señor diputado. si estuviéramos en un mundo ideal y el Congreso Nacional aspirara al bien común, sin lugar a dudas este proyecto debería ser aprobado de forma unánime. No aprobarlo es obviar las necesidades de la clase trabajadora en un contexto donde el costo de la vida sube. ¡Y pucha que cuesta llegar a la quincena o a fin de mes! Desde aquí se hace fácil parafrasear -por su intermedio, señor Presidente, me dirijo a l...'}, {'fecha': '2025-03-04', 'polo': 'negativo', 'text': 'Ha terminado su tiempo, señor diputado. antes que todo, quiero decir que el Partido Comunista jamás ha estado en contra de escuchar a las y los trabajadores, menos en esta materia, incluso cuando en su momento nos opusimos a los articulados del SBAP. Por ello, creo que hay que tener un poco de prolijidad al momento de mencionar a nuestra bancada en relación con un proyecto de estas características. Refiriéndome al proyecto, la Conaf es una ent...'}]",-0.251839,-0.594403,-0.870073,-0.79273,-0.198328,0.198328,Alta coincidencia texto-voto,False,160,17
